"id","address_line1","address_line2","area","city","constructed_area","district_code","girl_exclusive","specialized","staff_quarter_available","student_hostel_available","location","no_of_student_hostel","no_of_regional_centers","other_speciality","state_code","website","year_of_establishment","year_when_declared_university","nodal_officer_id","staff_quarter_id","type_id","offers_distance_programme","has_faculty_regular_courses","has_department_regular_courses","has_other_regular_courses","constituted_from_colleges","speciality_id","name","survey_year","financial_income_id","financial_expenditure_id","infrastructure_id","remarks","latitude","longitude","scholarship_id","loan_id","offers_scholarship","offers_loan","is_accredited","is_foreign_students_enrolled","pin_code","off_shore_center_available","no_of_off_shore_center","has_fellowships","fellowships_id","has_other_minority_data"
"0341","Mawkynroh - Umshing","","1025","Shillong","178774","298","false","false","true","true","U","22","1","","17","www.nehu.ac.in","1973","","214395","55870","01","true","false","true","false","false","","North Eastern Hill University, Shillong","2015","209948","209935","209931","Kindly note:BLOCK 1E: NUMBER OF STUDENTS ENROLLED IN THE UNIVERSITY/INSTITUTIONDepartment of Anthropology under the School of Human and Environmental Sciences may be included in the format. Data for the Academic Year 2015-16 are as follows:Anthropology                    General                    SC                        ST                       OBC                    Total                                       Total/Girls               Total/Girls          Total/Girls             Total/Girls            Total/GirlsM.A.    Year 1                      0   /   0                  1   /   1                5   /  5                    1  /   1                  7   /   7M.A.    Year 2                      0   /   0                  0   /   0              11   /  8                    0  /   0                 11  /   8   M. Sc. Year 1                      0   /   0                  1   /   0              22   / 17                   0  /   0                 23  / 17M. Sc. Year 2                      0   /   0                  0   /   0              18   / 15                   0  /   0                 18  / 15Ph. D.                                  0   /   0                  1  /    1              14  /    8                   0  /   0                 15  /   9  Department of Horticulture under the School of Human and Environmental Sciences may be included in the format. Data for the Academic Year 2015-16 are as follows:Horticulture                     General                     SC                       ST                       OBC                                          Total/Girls            Total/Girls          Total/Girls             Total/Girls              Total/GirlsM. Sc. Year 1                   1   /  1                   0  /  0                  9  /  6                    0  /  0                   10 /  7M. Sc. Year 2                   1   /  1                   0  /  0                  7  /  5                    0  /  0                    8  /  6","25.5719299999999983","91.7717499999999973","","","false","false","true","true","793022","false","0","true","6754","false"
"0390","Sikar Road","Ajmer","","Ajmer","47826","119","false","false","true","true","R","2","0","","08","www.bhagwantuniversity.com","2008","2008","201522","53018","03","false","true","false","false","false","","Bhagwant University,  Ajmer","2015","197075","197062","197058","","","","108947","","true","false","false","true","305004","false","0","false","","false"
"0652","AIRPORT BYPASS ROAD","GANDHI NAGAR","55","BHOPAL","294720.760000000009","444","false","false","true","true","U","4","0","","23","www.rkdf.ac.in","2011","2011","211373","55154","03","false","true","false","false","false","","RKDF UNIVERSITY","2015","206926","206913","206909","","","","114070","","true","false","false","false","462033","false","0","false","","false"
"0580","86/1 College Street, Kolkata -73","","14.9000000000000004","Kolkata","","342","false","false","false","true","U","2","0","","19","www.presiuniv.ac.in","1817","2010","162560","","02","false","false","true","false","false","","Presidency University","2015","158114","158101","158097","","","","","","false","false","false","false","700073","false","0","false","","false"
"0675","PANBAZAR","","","GUWAHATI","","322","false","false","false","true","U","4","0","","18","www.ccsu.ac.in","2011","2011","208333","","02","false","true","false","false","true","","COTTON COLLEGE STATE UNIVERSITY","2015","203886","203873","203869","","26.1109472999999994","91.4454286999999937","112702","16191","true","true","false","false","781001","false","0","false","","false"
"0413","New Campus","","","","","130","false","false","true","true","U","7","0","","08","www.mlsu.org","1962","1962","208535","54510","02","false","true","true","false","true","","Mohan Lal Sukhadia University, Uaipur","2015","204088","204075","204071","","","","","","false","false","true","false","313031","false","0","false","","true"
"0578","DD-26,Sector-I,Salt Lake City","","","Kolkata","","342","false","false","false","false","U","0","1","","19","www.wbnsou.ac.in","1997","1997","166297","","10","true","false","false","false","false","","Netaji Subhash Open University, Kolkata","2015","161850","161837","161833","","","","","","false","false","false","false","700064","false","0","false","","false"
"0146","Nirma University, S. G. Highway","Ahmedabad, Gujarat, PIN-382481","110","Ahmedabad","131141.309999999998","474","false","false","false","true","U","3","0","","24","www.nirmauni.ac.in","1995","2003","158819","","03","false","false","false","false","true","","Nirma University, Ahmedabad","2015","154373","154360","154356","1) In Nirma University The Designation of Vice Chancellor is Director General,2) Nirma University is Constituted from 7 of its constituent Institutes  all programmes runs in these seven Institutes and all Institutes are  in the same campus Infrastructures are common for all (Like Area, Hostel, Play Ground, Health Center etc.).3) Financial Information are consolidated for all institutes and given in Block 1G of DCF-I4) Scholarships and Education loan information (if any) is given in DCF-II, of the respective Institutes (Colloges)5) Foreign Students are enrolled in the constituent Institutes and the details are given in DCF-II of respective constituent Institutes.6) Each Constituent institute has its own library and the details of number book Journals etc. is given in DCF-II of respective constituent Institutes.","","","","","false","false","true","false","382481","false","0","false","","false"
"0627","Sy.No.71/1, NH-5","Nidamunuru","2.24000000000000021","Vijayawada","5941","547","false","true","false","true","U","5","0","","28","spav.ac.in","2008","","159110","","19","false","true","false","false","false","4","School of Planning & Architecture Vijaywada","2015","154664","154651","154647","","16.000001000000001","80.0000000999999941","83527","12089","true","true","false","false","521104","false","0","false","","false"
"0471","NH-67, TRICHY-THANJAVUR HIGHWAYS","VALLAM","46.8699999999999974","THANJAVUR","102285.395799999998","620","false","false","false","true","R","3","0","","33","www.prist.ac.in","1994","2008","160975","","06","false","true","false","false","false","","Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur","2015","156529","156516","156512","","10.7200009999999999","79.0800100000000015","84780","12228","true","true","true","true","613403","false","0","false","","true"
"0505","Kalyanpur","","256","Kanpur Nagar","40000","164","false","false","true","true","U","5","0","","09","www.kanpuruniversity.org","1967","","160982","42634","02","false","true","false","false","false","","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","2015","156536","156523","156519","","26.4983010000000014","80.2658009999999962","","","false","false","true","false","208014","false","0","false","","false"
"0365","Sardar Patel Hall Complex","Unit-II","50","Bhubaneswar","15821","386","false","true","false","true","U","2","0","Culture University","21","www.uuc.ac.in","1999","1999","161121","","02","false","true","false","false","false","9","Utkal University of Culture, Bhubaneswar","2015","156675","156662","156658","","","","84879","","true","false","false","false","751009","false","0","false","","false"
"0268","Awadesh Pratap Singh University, Rewa","Awadesh Pratap Singh University, Rewa","246.199999999999989","REWA","36833","430","false","false","true","true","U","2","0","","23","www.apsurewa.ac.in","1968","1968","161311","42711","02","false","true","false","false","false","","Awadesh Pratap Singh University, Rewa","2015","156865","156852","156848","","24.0000099999999996","75.0000100000000032","85009","","true","false","true","false","486003","false","0","true","4191","false"
"0103","Opp. Supreme Court of India","Bhagwan Dass Road","1.19999999999999996","New Delhi - 110001","7000","094","false","true","false","false","U","0","0","","07","www.ili.ac.in","1956","2004","162383","","05","false","true","false","false","false","3","Indian Law Institute, Bhagwandas Road, New Delhi","2015","157937","157924","157920","","","","85648","","true","false","false","false","110001","false","0","false","","false"
"0122","AES BUNGLOW 3","COMMERCE SIX ROADS, NAVANGPURA","23","AHMEDABAD","22000","474","false","false","false","true","U","3","0","","24","www.ahduni.edu.in","2009","2009","162443","","03","false","false","false","false","true","","Ahmedabad University","2015","157997","157984","157980","1. Since AHMEDABAD UNIVERSITY has Constituent Colleges all the College related data is been uploaded  in DCF-II.2. In DCF- I only the Ahmedabad University consolidated Data of Staff and Financial Data is been mentioned to avoid duplication of data in DCF - II form.3. Financial Data as on March 2015 is been mentioned.","23.0364059999999995","72.5610060000000061","","","false","false","true","false","380009","false","0","false","","false"
"0045","Vemanapuram, Kadapa-516 003","Vemanapuram, Kadapa-516 003","625","Kadapa","274320","551","false","false","false","true","R","8","0","","28","www.yogivemanauniversity.ac.in","2006","2006","160539","","02","false","true","false","false","true","","Yogi Vemana University, Kadapa","2015","156093","156080","156076","","14.0000099999999996","78.0000100000000032","","","false","false","false","false","516003","false","0","false","","false"
"0145","Navsari Agricultural University,","Eru Char Rasta,  At & Po Eru  Ta- Jalalpore","2278.4699999999998","Navsari  396 450","468.370000000000005","490","false","true","true","false","R","0","0","","24","www.nau.in","2004","2004","162780","43101","02","false","false","false","false","true","1","Navsari Agricultural University","2015","158334","158321","158317","","20.2300010000000015","72.2200019999999938","","","false","false","false","false","396450","false","0","false","","false"
"0303","846 Shivajinagar, BMCC Road","Deccan Gymkhana","13.3000000000000007","Pune","22108.3400000000001","521","false","true","true","true","U","2","0","Economics","27","www.gipe.ac.in","1930","1993","163581","43308","05","false","false","true","false","false","9","Gokhale Institute of Politics & Economics, Pune","2015","159135","159122","159118","","18.5194660000000013","73.8366479999999967","86333","12397","true","true","false","false","411004","false","0","true","4275","true"
"0636","Old High Court Campus, Near Gandhi Chowk","BILASPUR-495001 (C.G.)","68","BILASPUR","50000","406","false","false","false","true","R","1","0","","22","http://www.bilaspuruniversity.ac.in","2012","2012","163702","","02","false","false","true","false","false","","BILASPUR VISHWAVIDYALAYA","2015","159256","159243","159239","0","22.0764320000000005","82.1648919999999947","86407","","true","false","false","false","495001","false","0","false","","true"
"0778","Kendradangal","Shantineketan, PS - Panrui, PO - Sattore","10.8900000000000006","SHANTINEKETAN","9375","334","false","false","false","true","R","2","0","","19","www.seacomskillsuniversity.org","2014","2014","164321","","03","false","true","false","false","true","","SEACOM SKILLS UNIVERSITY","2015","159875","159862","159858","","23.9167099999999984","87.5333329999999989","86734","","true","false","false","false","731236","false","0","false","","false"
"0165","Lala Lajpat Rai University of Veterinary and Animal Sciences","Post Office HAU","300","Hisar","","080","false","true","true","true","U","5","0","","06","www.luvas.edu.in","2010","2010","164332","43519","02","false","true","false","false","true","5","Lala lajpat Rai University of Veterinary and Animal Sciences","2015","159886","159873","159869","Institution is recognised by the Veterinary Council of India.","29.1000009999999989","75.4600010000000054","86740","","true","false","false","true","125004","false","0","true","4296","false"
"0649","Bidyadharpur Arilo","Ward No.3","185.969999999999999","Cuttack","10315","381","false","false","true","true","R","5","0","","21","www.srisriuniversity.edu.in","2009","2009","164533","43570","03","false","true","false","false","false","","SRI SRI UNIVERSITY","2015","160087","160074","160070","","20.4625209999999988","85.8829889999999949","86849","","true","false","false","true","754006","false","0","false","","false"
"0131","""Jyotirmay Parisar"", Opp. Shri Balaji Temple,","Sarkhej-Gandhinagar Highway, Chharodi,","20","Ahmedabad - 382481","12535","474","false","false","false","false","U","0","1","","24","http://www.baou.edu.in/","1994","1994","164947","","10","true","false","false","false","false","","Dr. Babasaheb Ambedkar Open University, Ahmedabad","2015","160500","160487","160483","","23.1221859999999992","72.5422959999999932","","","false","false","true","false","382481","false","0","false","","false"
"0152","Rajendra Bhuvan Road,","Near Birla Temple,","17.370000000000001","Veraval - 362266","2665","479","false","true","false","true","R","2","0","","24","www.shreesomnathsanskrituniversity.info","2005","2005","165023","","02","false","true","false","true","false","15","Shree Somnath Sanskrit University, Junagarh","2015","160576","160563","160559","","20.5300100000000008","73.2600099999999941","87145","","true","false","false","false","362266","false","0","false","","false"
"0126","Sector-30, Gandhinagar","Gujarat. Pin - 382030","","Gandhinagar","","473","false","false","false","true","U","7","0","","24","www.cug.ac.in","2009","2009","165201","","01","false","true","true","false","false","","Central Univeristy of Gujarat, Gandhinagar","2015","160754","160741","160737","","","","","","false","false","false","true","382030","false","0","false","","false"
"0142","mundra road","Bhuj","205","Bhuj","3569.73999999999978","468","false","false","false","true","U","2","0","","24","kskvku.digitaluniversity.ac","2004","2004","165374","","02","false","true","true","false","false","","Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh","2015","160927","160914","160910","","","","87341","","true","false","false","false","370001","false","0","false","","false"
"0439","Sardar Patel Road","","311.949999999999989","Chennai","216349","603","false","true","false","false","U","0","6","","33","www.annauniv.edu","1978","1978","179985","","02","true","false","false","true","true","4","Anna University, Chennai","2015","175538","175525","175521","","13.0010600000000007","","","","false","false","true","false","600025","false","0","false","","false"
"0138","University Road, Patan","","85.7900000000000063","Patan","54070","470","false","false","true","true","U","6","0","","24","www.ngu.ac.in","1986","1986","163623","43320","02","false","false","true","false","true","","Hemchandracharya North Gujart University, Patan","2015","159177","159164","159160","","","","86358","","true","false","true","false","384265","false","0","true","6700","false"
"0635","NH - 6, Raipur Bhilai Road","Km Stone 20, PO Kumhari","30.4299999999999997","Durg","6500","409","false","false","false","false","U","0","0","","22","www.iuraipur.edu.in","2011","2011","165642","","03","false","true","false","false","false","","ICFAI UNIVERSITY","2015","161195","161182","161178","The University has always strived to provide quality education to its students and maintains a high standard of its curriculum with an aim that students are trained to the best to develop intellectual capital for the state. The curriculum is reviewed at regular intervals to include latest techniques and new developments in the subject area. It also tries that academic delivery and evaluations are completed in a time bound manner and I am happy to report that we have succeeded in achieving that.","21.0000099999999996","81.0000100000000032","87500","12519","true","true","false","false","490042","false","0","false","","false"
"0734","Lotus view, Near Balaji Temple, Opposite Nirma University,","SG highway, Chharodi","160","Ahmedabad","139252","474","false","true","true","true","R","9","0","","24","lyu.ac.in","2013","2013","165760","43839","03","false","true","false","false","false","16","LAKULISH YOGA UNIVERSITY, AHMEDABAD","2015","161313","161300","161296","","23.000119999999999","72.0003099999999989","","","false","false","false","true","382481","false","0","false","","false"
"0368","Dhanvantari Nagar","","","Puducherry","","635","false","true","true","true","U","11","0","","34","www.jipmer.edu.in","1823","2008","165817","43855","07","false","true","false","false","false","2","Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry","2015","161370","161357","161353","","","","","","false","false","false","false","605006","false","0","false","","false"
"0240","4th T Block, Jayanagar","","1.69999999999999996","Bangalore","5996","572","false","true","false","false","U","0","0","","29","www.rguhs.ac.in","1994","1996","165826","","02","false","true","false","false","false","2","Rajiv Gandhi University of Health Sciences, Bangalore","2015","161379","161366","161362","3 year Master degree in Public Health is offered as Master of Public Health (Honours). 2 seats are reserved for candidates serving in Govt. of karantaka, departments of health services or medical education. 8 other seats are open to other candidates who receive a stipend from the university, if they have no other source of scholarship, fellowship or salary. The course is offered through choice based credit system.","12.9715986999999995","77.5945626999999973","","","false","false","false","false","560041","false","0","false","","false"
"0128","CHARUSAT Campus","","110","Changa - 388421","100000","482","false","false","false","true","R","4","0","","24","www.charusat.ac.in","2000","2009","165848","","03","false","false","false","false","true","","Charotar University of Science & Technology,  Anand","2015","161401","161388","161384","in Our University, Designation of Vice Chancellor is Provost.","22.5960330999999996","72.8072341999999963","","","false","false","false","false","388421","false","0","false","","false"
"0658","MIDC Road, Complex, Gadchiroli","MIDC Road, Complex, Gadchiroli","10","Gadchiroli","2965.51999999999998","508","false","false","false","false","U","0","0","","27","www.unigug.org","2011","2011","165949","","02","false","true","false","false","true","","GONDWANA UNIVERSITY, GADCHIROLI","2015","161502","161489","161485","","20.2800009999999986","79.5800009999999958","87676","","true","false","false","false","442605","false","0","false","","true"
"0125","Greenwud","Near Vaishno Devi Circle, Sardar Patel Ring Road","3.85000000000000009","Ognaj","3746.5","474","false","false","false","true","R","1","0","","24","www.ctu.calorx.org","2009","2009","166220","","03","false","true","false","false","true","","Carlox Teacher's University, Ahmedabad","2015","161773","161760","161756","","23.0805490000000013","72.303293999999994","87831","","true","false","false","false","382481","false","0","false","","false"
"0593","Near Directorate of Forensic Science","Sector 9","12.3550000000000004","Gandhinagar","29775","473","false","true","false","true","U","2","0","Forensics","24","www.gfsu.edu.in","2009","2009","166390","","02","false","true","false","false","true","9","Gujarat Forensic Sciences University","2015","161943","161930","161926","","23.2129499999999993","72.6607699999999994","87923","","true","false","true","false","382007","false","0","true","4381","true"
"0044","Dargamitta","Nellore","","Nellore","","550","false","false","false","true","U","2","0","","28","simhapuriuniv.ac.in","","","173450","","02","false","false","true","false","false","","Vikram Simhapuri University, Nellore","2015","169003","168990","168986","","","","","","false","false","false","false","524003","false","0","false","","false"
"0646","9 Km. Milestone, NH-65","Ambala Road","21.8000000000000007","Kaithal","13202","073","false","false","true","true","R","2","0","","06","www.niilmuniversity.in","2011","2011","213520","55625","03","false","true","false","false","false","","NIILM UNIVERSITY","2015","209073","209060","209056","","","","","","false","false","false","false","136027","false","0","false","","false"
"0594","Subhash Chandra Bose Education Campus","Sector-20","8.25","Gandhinagar - 382020","3090","473","false","false","true","false","U","0","0","","24","www.cugujarat.ac.in","2009","2009","166747","44085","02","false","true","true","true","false","","Children University, Gandhinagar","2015","162300","162287","162283","Recruitment procedure id under process. Recently Deputation, Contractual and daily ways are working.","23.0000099999999996","72.0000100000000032","","","false","false","false","false","382020","false","0","false","","false"
"0591","37 & 68 Kshudiram Bose Sarani, Kolkata, Pin-700037","","84.5360000000000014","Kolkata","342105","342","false","true","false","true","U","9","0","State Agricultural University","19","www.wbuafscl.ac.in","1995","1995","167022","","02","false","true","false","false","false","9","West Bengal University of Animal and Fishery Sciences, Kolkata","2015","162575","162562","162558","","22.6076039999999985","88.3883569999999992","88276","","true","false","false","false","700037","false","0","true","4404","true"
"0788","Ch. Bansi Lal University,","Hansi Road,","131","Bhiwani","11000","081","false","false","true","false","U","0","0","","06","www.cblu.ac.in","2014","2014","167128","44193","02","false","true","false","false","false","","CHAUDHARY BANSI LAL UNIVERSITY","2015","162681","162668","162664","For column 1D Staff Information, University has all staff on Lecture Basis except 01 Assistant Professor on deputation.For Non teaching Staff ,08 Persons on Deputation,03 Re-employed,50 from Outsourcing and 06 On DC Rates.For column 1F Examination, First Batch will pass-out in May 2016.","28.7800100000000008","76.1300099999999986","88339","","true","false","false","false","127021","false","0","false","","false"
"0123","Anand Agricultural University, Anand.","Khetiwadi, Taluka-Anand, Dist - Anand Pin - 38801","1765","Anand","1075100","482","false","true","true","false","U","0","0","","24","www.aau.in","2004","2004","167236","44223","02","false","false","false","false","true","1","Anand Agricultural University, Anand","2015","162789","162776","162772","","","","","","false","false","true","false","388001","false","0","false","","false"
"0625","Sri Chamarajendra Samskrit College Campus,","Pampamahakavi Road, Chamarajpet,","100","Bangalore - 560 018","0","572","false","true","false","false","U","0","0","","29","www.ksu.ac.in","2010","2010","167255","","02","false","true","false","true","false","15","Karnataka Sanskrit University","2015","162808","162795","162791","","7.49319600000000019","80.3320310000000006","","","false","false","false","false","560018","false","0","false","","false"
"0232","Kuvempu University, Jnana Sahyadri","Shankaraghatta","330","Shankaraghatta","224228.950000000012","568","false","false","true","true","R","6","0","","29","www.kuvempu.ac.in","1987","1987","167793","44360","02","false","true","false","false","true","","Kuvempu University, Shankaraghatta, Shimoga","2015","163346","163333","163329","","13.7359822999999999","75.6324041000000022","","","false","false","false","false","577451","false","0","false","","true"
"0782","Polytechnic Compound","Gadukpur","","Godhra","","484","false","false","false","false","U","0","0","","24","","2015","2015","168602","","02","false","false","false","false","true","","SHRI GOVIND GURU UNIVERSITY","2015","164155","164142","164138","This is new status University. All colleges will transfer from other university.Process is not started. Only Vice chancellor has been appointed.","","","","","false","false","false","false","389001","false","0","false","","false"
"0783","C/o.Bauddin Arts College Campus","Opp.Bhutnath Temple road","","Junagadh","","479","false","false","false","false","U","0","0","","24","","2015","2015","168646","","02","false","false","false","false","true","","BHAKTA KAVI NARSINH MEHTA UNIVERSITY","2015","164199","164186","164182","This is New established states University. Vice Chancellor Has not been appointed. All process ( appoinment, college transfer)are under process am authorise by Govt.for upload this DCF-I","","","","","false","false","false","false","362001","false","0","false","","false"
"0494","Agartala-Simna Road","Kamalghat, Mohanpur","32.5300000000000011","Agartala","58000","289","false","false","true","true","R","2","0","","16","www.iutripura.edu.in","2004","2004","169113","44672","03","false","false","true","false","false","","The Institute of Chartered Financial Analysts of India University, Agartala","2015","164666","164653","164649","THE UNIVERSITY IS SET UP UNDER A STATE LEGISLATION CALLED"" THE INSTITUTE OF CHARTERED FINANCIAL ANALYSTS OF INDIA UNIVERSITY TRIPURA ACT(ACT NO.8) 2004. IT IS PURELY A SELF-FINANCED PRIVATE UNIVERSITY WHICH DOES NOT RECEIVE GRANT/ASSISTANCE FROM STATE/CENTRAL COVERNMENT OR UGC OR FROM ANY OTHER ORGANIZATION . THIS UNIVERSITY DOES NOT HAVE ANY RESERVATION IN STUDENT ADMISSION OF STAFF RECRUITMENT.","22.5600009999999997","91.0900010000000009","89326","","true","false","true","true","799210","false","0","false","","false"
"0378","Indian Institute of Technology Ropar","Nangal Road, Rupnagar, Punjab-140001","22","Rupnagar","24850","051","false","true","true","true","U","6","0","","03","www.iitrpr.ac.in","2008","","169194","44686","07","false","false","true","false","false","4","Indian Institute of Technology, Ropar","2015","164747","164734","164730","","","","","","false","false","false","false","140001","false","0","false","","false"
"0057","Chanakya National Law University Campus,","Near Mithapur Bus Stand,","","Patna-800 001","","230","false","false","false","false","U","0","0","","10","www.akubihar.ac.in","2010","2010","169273","","02","false","true","false","false","true","","Aryabhatta Knoweledge University , Patna","2015","164826","164813","164809","","25.591228000000001","85.1401579999999996","","","false","false","false","false","800001","false","0","false","","false"
"0354","VYASA VIHAR,NUAPADHI,BALASORE 756020","","","","","377","false","false","true","true","R","2","1","","21","www.fmuniversity.nic.in","1999","2000","169364","44729","02","true","true","false","false","false","","Fakir Mohan University, Balasore","2015","164917","164904","164900","","21.491301","86.9318099999999987","","","false","false","false","false","756020","false","0","false","","false"
"0218","Shivagangothri","","72.3499999999999943","Davangere","15000","567","false","false","true","true","R","6","0","","29","www.davangereuniversity.ac.in","1979","2009","169584","44783","02","false","false","true","false","false","","Davangere University, Davangere","2015","165137","165124","165120","Teaching and Non-Teaching posts not yet sanctioned. University administration works carried out by human resource hired through out sourcing agency. About 125employees have been hired through outsourcing agency.","14.23001","75.5700099999999964","89537","","true","false","false","false","577002","false","0","true","4482","false"
"0541","Knowledge III","Plot no. 32-34","63","Greater Noida","","141","false","false","true","true","U","9","0","","09","www.sharda.ac.in","2005","2009","182651","48175","03","false","true","false","false","true","","Sharda University, Gautam Budh Nagar","2015","178204","178191","178187","","","","97372","","true","false","false","true","201308","false","0","false","","true"
