"statecode","name","id","statebodyid","survey_year"
"28","GOVERNMENT POLYTECHNIC, AMADALAVALASA","14849","2","2015"
"36","VENKATA SAI DIPLOMA IN ELEMENTARY EDUCATION INSTITUTION, DEVARAKADRA, MAHABUBNAGAR","14836","4","2015"
"27","MILE-MANAGEMENT INSTITUTE FOR LEADERSHIP AND EXCELLENCE","223","7","2015"
"09","A M COLLEGE OF HIGHER EDUCATION, BASDEOPUR","14837","4","2015"
"33","AVM School of Nursing, Thoothukudi","14838","3","2015"
"33","Sah School of Nursing, Thoothukudi","14839","3","2015"
"28","GOVERNMENT POLYTECHNIC, MACHILIPATNAM","14850","2","2015"
"36","SRI RADHAKRISHNA MEMORIAL TELUGU PANDIT TRNG COLLE ADILABAD","5657","4","2015"
"19","GLOBSYN BUSINESS SCHOOL","14851","7","2015"
"18","ASSAM TEXTILE INSTITUTE","14853","2","2015"
"29","XAVIER INSTITUTE OF MANAGEMENT AND ENTREPRENEURSHIP","157","7","2015"
"36","ARUNA BAI D Ed COLLEGE, HUGGELLI","14855","4","2015"
"10","DISTRICT INSTITUTE FOR EDUCATION AND TRAINING, SHREE NAGAR","14856","4","2015"
"04","SRI GURU GOBIND SINGH COLLEGE OF PHARMACY","14857","2","2015"
"29","MYRA School of Business","14858","7","2015"
"23","SCHOOL OF RURAL MANAGEMENT, BHADWASA","14859","7","2015"
"36","MOTHER TERESA COLLEGE OF EDUCATION, MAHABUBABAD","14860","4","2015"
"36","SANSKRIT ACADEMY","14861","5","2015"
"27","GULABRAO PATIL MEMORIAL TRUST D ED COLLEGE, MIRAJ","14862","4","2015"
"27","VIDHARBHA YOUTH WELFARE SOCIETY'S INSTITUTE OF DIPLOMA IN PHARMACY BORGAON MEGHEWARDHA","2227","2","2015"
"27","Chirayu Smt. Kaushalyadevi Bajaj Adhyapak Vidhyalaya MOUZA MANKAPUR NAGPUR","9157","4","2015"
"28","MRS A V N COLLEGE","14863","2","2015"
"09","AR INSTITUTE OF MANAGEMENT AND TECHNOLOGY","14852","7","2015"
"28","GOVERNMENT POLYTECHNIC, PONNUR","14864","2","2015"
"10","PTEC RAMPUR, JALALPUR","14865","4","2015"
"23","Bhimrao Ramrao Ambedkar College of Education(D Ed)","14867","4","2015"
"27","Maharani Shantadevi Gaikwad Grihashtra Shikshan Sansthas Adhyapika Vidyalaya","14866","4","2015"
"05","BHAGIRATHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT COLLEGE (POLYTECHNIC), LOHAGHAT","14868","2","2015"
"36","NATIONAL INSTITUTE FOR MICRO, SMALL AND MEDIUM ENTERPRISES, HYDERABAD","8859","5","2015"
"27","YASHWANTRAO BHONSALE POLYTECHNIC","15057","2","2015"
"36","ANDHRA PRADESH AVIATION ACADEMY HYDERABAD","8853","5","2015"
"36","FLYTECH AVIATION ACADEMY SECUNDERABAD","8854","5","2015"
"36","HYDERABAD COLLEGE OF AVIATION TECHNOLOGY HYDERABAD","8855","5","2015"
"36","SIGMA AVIATION ACADEMY SECUNDERABAD","8862","5","2015"
"36","J ESWARI BAI MEMORIAL SCHOOL OF NURSING, WEST MARREDPALLY, HYDERABAD","13214","3","2015"
"05","GOVERNMENT POLYTECHNIC, PAURI","14869","2","2015"
"36","ABYUDAYA SCHOOL OF NURSING, LANGER HOUSE, HYDERABAD","13241","3","2015"
"36","ALA SAROJINAMMA SCHOOL OF NURSING, PRAGATHI HOSPITAL TRUST, NIZAMABAD","13297","3","2015"
"36","APPLE SCHOOL OF NURSING, MATWADA, WARANGAL","13170","3","2015"
"36","PRINCESS ESIN WOMENS EDUCATIONAL CENTRE, SCHOOL OF NURSING, PURANIHAVELI, HYDERABAD","13201","3","2015"
"27","Sant Tukaram Polytechnic, Indori","14871","2","2015"
"27","Wainganga Polytechnic, North Ambazari Road","14872","2","2015"
"36","ADMINISTRATIVE STAFF COLLEGE OF INDIA","1","7","2015"
"36","A.P.GOVERNMENT INSTITUTE OF LEATHER TECHNOLOGY","488","2","2015"
"36","CENTRAL INSTITUTE OF PLASTICS ENGINEERING & TECHNOLOGY HYDERABAD","512","2","2015"
"36","SES & SNM POLYTECHNIC KHAMMAN","622","2","2015"
"09","ALLAHABAD COLLEGE OF ENGINEERING AND MANAGEMENT","14873","2","2015"
"28","INSTITUTE FOR FINANCIAL MANAGEMENT AND RESEARCH","14874","7","2015"
"28","GOVERNMENT POLYTECHNIC, OBULAVARIPALLI","14876","2","2015"
"27","AKOLE TALUKA EDUCATION SOCIETYS FACULTY OF POLYTECHNIC","14880","2","2015"
"29","Indian Institute of Plantation Management, Bangalore","14881","5","2015"
"13","NAGALAND TOOL ROOM AND TRAINING CENTRE","14882","2","2015"
"19","DR B C ROY POLYTECHNIC","14884","2","2015"
"33","SRI RAMACHANDRA POLYTECHNIC COLLEGE, DHARMANEETHI","14885","2","2015"
"27","DES Institute of Management Development and Research","14886","7","2015"
"03","Punjab Institute of Nursing, Nangla","14887","3","2015"
"19","RAJA RANJIT KISHORE GOVERNMENT POLYTECHNIC","14888","2","2015"
"36","Vijayabharathi D El Ed College, Hayathnagar","14889","4","2015"
"27","Karmaveer Bhaurao Patil Polytechnic, Satara","14890","2","2015"
"29","VISWESWARAIAH POLYTECHNIC","14891","2","2015"
"36","SAINIK ASPATAL MILITARY HOSPITAL HYDERABAD","3602","3","2015"
"36","VISHWA VISHWANI INSTITUTE OF SYSTEMS AND MANGEMENT","36","7","2015"
"24","MICA","14875","7","2015"
"27","Dyan Vikas D Ed College, Koprkhairane","14877","4","2015"
"03","New Punjab College of Elementary Education, Nangla","14878","4","2015"
"19","Kolaghat Government Polytechnic","14883","2","2015"
"36","GOVERNMENT POLYTECHNIC, KATARAM","14892","2","2015"
"32","XAVIER INSTITUTE OF MANAGEMENT AND ENTREPRENEURSHIP","14893","7","2015"
"05","Government Polytechnic, Pipli","14870","2","2015"
"05","GOVERNMENT POLYTECHNIC, PABAU","14879","2","2015"
"09","INDIAN INSTITUTE OF FINANCE, GREATER NOIDA","14894","7","2015"
"36","PALLAVI D ED COLLEGE, BALAJI NAGAR, PARGI","14895","4","2015"
"08","Siddhi Vinayak Polytechnic, Alwar","14896","2","2015"
"05","IMS INSTITUTE OF TECHNOLOGY, ROORKEE","14897","2","2015"
"19","BANKURA GOVERNMENT POLYTECHNIC","14898","2","2015"
"32","MUNNAR CATERING COLLEGE","14899","2","2015"
"05","GOVERNMENT POLYTECHNIC, BERINAG","14900","2","2015"
"33","GOVERNMENT POLYTECHNIC COLLEGE","15059","2","2015"
"05","Government Polytechnic, Bachelikhal","14901","2","2015"
"22","Govt Female Health worker Training Center, Dhamtari","15061","3","2015"
"22","Government ANM training center, korba","15062","3","2015"
"27","Christ Institute of Management","14902","7","2015"
"27","K P PATIL INSTITUTE OF TECHNOLOGY","14903","2","2015"
"09","Christ Institute of Management","14904","7","2015"
"27","VIVEKANAND INSTITUTE OF POLYTECHNIC, AURANGABAD","14906","2","2015"
"08","VIDYA BHAWAN KALA SANSTHAN BSTC","14907","4","2015"
"09","INDRA DEO DHAR DUBEY COLLEGE OF EDUCATION, TILAURA PALI SAHJANWA, GORAKHPUR","14908","4","2015"
"08","SATYAM INSTITUTE OF TECHNOLOGY","14911","2","2015"
"09","S V M Technical Institute, Lalganj","14912","2","2015"
"08","SWASTHYA KALYAN POLYTECHNIC COLLEGE, SITAPURA","14913","2","2015"
"02","Awasthi Institute of Nursing, Nalagarh","14914","3","2015"
"19","Mallabhum Institute of Polytechnic","14916","2","2015"
"27","DR. BABASAHEB AMBEDKAR KHADI GRAMOUDYOG SANGH MANGALWEDHA, SMT. GEETA BANKAR ADHYAPAK VIDYALAYA, SANGOLA","9221","4","2015"
"19","RATUA SATYENDRA NATH BOSE GOVERNMENT POLYTECHNIC","14919","2","2015"
"33","Sri Krishna Polytechnic College, Kovaipudur","3127","2","2015"
"28","GOVERNMENT POLYTECHNIC, ANAKAPALLI","14921","2","2015"
"18","Assam Institute of Management","14905","7","2015"
"36","Government Polytechnic,Tirumalagiri","14909","2","2015"
"10","DIET LAKHISARAI","14915","4","2015"
"36","MOTHER TERESA COLLEGE OF ELEMENTARY EDUCATION, SATHUPALLY","14917","4","2015"
"10","PATNA SAHIB TECHNICAL CAMPUS","14920","2","2015"
"05","Government Polytechnic, Chopta","14922","2","2015"
"09","Lal Bahadur Shastri Institute of Management and Technology","3305","7","2015"
"33","AMMAIAPPAR POLYTECHNIC COLLEGE, MEENATCHIYAPURAM","14910","2","2015"
"28","GOVERNMENT POLYTECHNIC, KANDUKUR","14923","2","2015"
"28","GOVERNMENT POLYTECHNIC, RAYACHOTY","14925","2","2015"
"02","Government GNM Training School, Bilaspur","14926","3","2015"
"28","S S S D GOVERNMENT POLYTECHNIC, CHINAMERANGI","14927","2","2015"
"33","M S Polytechnic College","14928","2","2015"
"28","GOVERNMENT POLYTECHNIC, KALIDINDI","14929","2","2015"
"28","Sraddaha College of Diploma in Enggineering and Technology","14933","2","2015"
"28","GOVERNMENT POLYTECHNIC, ANAPARTHI","14934","2","2015"
"19","DURGAPUR INSTITUTE OF POLYTECHNIC","14924","2","2015"
"28","GOVERNMENT POLYTECHNIC, DRAKSHARAMAM","14930","2","2015"
"08","ARYAN MUKUL POLYTECHNIC COLLEGE, DEOLI","14935","2","2015"
"08","GOVERNMENT POLYTECHNIC COLLEGE, BAGIDORA","14918","2","2015"
"19","BARUIPUR GOVERNMENT POLYTECHNIC","14931","2","2015"
"03","Singha College of Pharmacy, Jalandhar","14936","2","2015"
"22","FEMALE HEALTH WORKER TREG. CENTER, RAJNANDGAON","15063","3","2015"
"28","GOVERNMENT POLYTECHNIC, PILLARIPATUU","14932","2","2015"
"06","B R COLLEGE OF PHARMACY, BAGPUR","14937","2","2015"
"27","District Institute of Education & Training, Shivaji Nagar, Hingoli Dist. Hingoli","9283","4","2015"
"19","GANGARAMPUR GOVERNMENT POLYTECHNIC","14938","2","2015"
"28","GOVERNMENT POLYTECHNIC, DHARMAVARAM","14939","2","2015"
"28","GOVERNMENT POLYTECHNIC, GANNAVARAM","14940","2","2015"
"03","MUSSOORIE POLYTECHNIC COLLEGE","14941","2","2015"
"28","GOVERNMENT POLYTECHNIC, KROSUR","14942","2","2015"
"05","DEV BHOOMI INSTITUTE OF POLYTECHNIC","3439","2","2015"
"03","Guru Gobind Singh Institute of Nursing Kamal pura, Ludhiana","15064","3","2015"
"19","NTS, Purba Medinipur District Hospital, Tamluk","14946","3","2015"
"28","GOVERNMENT POLYTECHNIC, URAVAKONDA","14947","2","2015"
"08","SHRI BHAWANI NIKETAN POLYTECHNIC","14949","2","2015"
"09","DEV RISHI INSTITUTE OF POLYTECHNIC AND TECHNOLOGY, SALHAPUR","14950","2","2015"
"09","DREAMS COLLEGE OF POLYTECHNIC","14954","2","2015"
"24","A. K. PATEL NURSING SCHOOL, VALAD","13989","3","2015"
"27","Shri Balasaheb Mane Shikshan Prasarak Mandal Ambaps Ashokrao Mane Polytechnic, Save, Shahuwadi","14955","2","2015"
"10","INTERNATIONAL SCHOOL OF MANAGEMENT PATNA","14956","7","2015"
"27","H S B P V Ts PARIKRAMA DIPLOMA IN PHARMACEUTICAL SCIENCES, KASHTI","14957","2","2015"
"09","ODM COLLEGE BTC","14958","4","2015"
"33","STATE INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY","14945","5","2015"
"36","Government Polytechnic, Parkal","14948","2","2015"
"05","Dev Bhoomi Institute of Pharmacy and Research, Dehradun","14951","2","2015"
"27","Shiv Vaibhav Junior College of  Education, Bachelor Road, Post Manas Mandir , Wardha-442005","9922","4","2015"
"27","SHRIKRUSHNA DED COLLEGE KOKANA","14959","4","2015"
"27","UKANDRAO MORE DED COLLEGE TIRORA","14961","4","2015"
"33","PARK GLOBAL SCHOOL OF BUSINESS EXCELLENCE CHENNAI","14944","7","2015"
"18","DIPHU POLYTECHNIC","14943","2","2015"
"01","Govt. Polytechnic, Ramban","15080","2","2015"
"33","GOVERNMENT POLYTECHNIC COLLEGE, USILAMPATTI","14952","2","2015"
"27","Late Ramrao Patil D.T.ED","14960","4","2015"
"08","ARYABHATTA POLYTECHNIC COLLEGE, SIKAR","14953","2","2015"
"27","SMT.GOKULABAI BADHE ADHYAPAK VIDHYALAYA,RAMGAON","14962","4","2015"
"27","Dileep Ekambekar D.T.ED College Udgir","14963","4","2015"
"27","YASHAWANTRAO CHAVAN ADHYAPAK VIDYALAY MANGRULPIR","14964","4","2015"
"27","MUSLIM EDUCATION COMMITTEES URDU D ED COLLEGE SANGLI","14965","4","2015"
"27","S.S.M. JR. COLLEGE OF EDUCATION KALYAN THANE","14966","4","2015"
"27","Maharashtra Adyapak Vidyalaya, Nilanga","14967","4","2015"
"27","ADHAYPAK VIDAYLAYA AMBAP","14968","4","2015"
"03","PUNJAB POLYTECHNIC, LALRU MANDI,  MOHALI","14969","2","2015"
"03","GURU NANK COLLEGE OF PHARMACY, HARIANA, HOSHIARPUR","14970","2","2015"
"03","BABA KUNDAN COLLEGE OF PHARMACY, LUDHIANA","14971","2","2015"
"03","LORD KRISHNA COLLEGE OF PHARMACY KHOKHAR LEHRAGAGA","14972","2","2015"
"27","Vignaharta Adhyapak Vidyalaya Umari","14973","4","2015"
"03","BAHRA COLLEGE OF POLYTECHNIC SANGRUR","14974","2","2015"
"03","SWAMI DAYANAND COLLEGE OF PHARMCY, LEHRA BEGA","14980","2","2015"
"22","GOVERNMENT ANM TRAINING CENTER. KONDAGAON","15065","3","2015"
"03","SARASWATI INSTITUTE OF NURSING","15066","3","2015"
"03","MUSSOORIE POLYTECHNIC COLLEGE, FATEHPUR RAJPUTAN","14975","2","2015"
"03","GURU NANK POLYTECHNIC, ADAMPUR","14976","2","2015"
"27","IQRA JUNIOR COLLEGE OF EDUCATION","14977","4","2015"
